,filename,source,subset,class,pred
371,IMG20220323132118.jpg,tomato_village,test,late_blight,spotted_wilt_virus
372,IMG20220323181018.jpg,tomato_village,test,late_blight,spotted_wilt_virus
377,IMG20220324104734.jpg,tomato_village,test,late_blight,spotted_wilt_virus
380,IMG20220324112704.jpg,tomato_village,test,late_blight,leaf_miner
381,IMG20220324121424.jpg,tomato_village,test,late_blight,spotted_wilt_virus
385,IMG20220325111356.jpg,tomato_village,test,late_blight,spotted_wilt_virus
388,IMG20220325111412.jpg,tomato_village,test,late_blight,nutrient_deficiency
393,IMG20220323100035.jpg,tomato_village,test,leaf_miner,leaf_miner
396,IMG20220323103413.jpg,tomato_village,test,leaf_miner,leaf_miner
399,IMG20220323103715.jpg,tomato_village,test,leaf_miner,leaf_miner
403,IMG20220323121813.jpg,tomato_village,test,leaf_miner,leaf_miner
406,IMG20220323125820.jpg,tomato_village,test,leaf_miner,leaf_miner
407,IMG20220323130211.jpg,tomato_village,test,leaf_miner,leaf_miner
414,IMG20220323184733.jpg,tomato_village,test,leaf_miner,leaf_miner
415,IMG20220323184815.jpg,tomato_village,test,leaf_miner,leaf_miner
417,IMG20220323185719.jpg,tomato_village,test,leaf_miner,leaf_miner
419,IMG20220324110820.jpg,tomato_village,test,leaf_miner,leaf_miner
421,IMG20220324112317.jpg,tomato_village,test,leaf_miner,leaf_miner
422,IMG20220324113020.jpg,tomato_village,test,leaf_miner,leaf_miner
428,IMG20220324114549.jpg,tomato_village,test,leaf_miner,leaf_miner
437,IMG20220324180037.jpg,tomato_village,test,leaf_miner,healthy
440,IMG20220324180357.jpg,tomato_village,test,leaf_miner,spotted_wilt_virus
442,IMG20220324180729.jpg,tomato_village,test,leaf_miner,nutrient_deficiency
450,IMG20220324183511.jpg,tomato_village,test,leaf_miner,leaf_miner
462,IMG20220325112914.jpg,tomato_village,test,leaf_miner,leaf_miner
464,IMG20220325113800.jpg,tomato_village,test,leaf_miner,leaf_miner
465,IMG20220325114103.jpg,tomato_village,test,leaf_miner,leaf_miner
469,IMG20220325114541.jpg,tomato_village,test,leaf_miner,leaf_miner
470,IMG20220325114708.jpg,tomato_village,test,leaf_miner,leaf_miner
472,IMG20220325114912.jpg,tomato_village,test,leaf_miner,nutrient_deficiency
476,IMG20220325120151.jpg,tomato_village,test,leaf_miner,leaf_miner
477,IMG20220325120626.jpg,tomato_village,test,leaf_miner,leaf_miner
479,IMG20220325133610.jpg,tomato_village,test,leaf_miner,leaf_miner
484,IMG20220325135156.jpg,tomato_village,test,leaf_miner,leaf_miner
486,IMG20220325140147.jpg,tomato_village,test,leaf_miner,healthy
487,IMG20220325141015.jpg,tomato_village,test,leaf_miner,leaf_miner
494,IMG20220325142605.jpg,tomato_village,test,leaf_miner,leaf_miner
506,IMG20220323095725.jpg,tomato_village,test,leaf_miner,leaf_miner
507,IMG20220323095905.jpg,tomato_village,test,leaf_miner,leaf_miner
509,IMG20220323100050.jpg,tomato_village,test,leaf_miner,leaf_miner
512,IMG20220323101248.jpg,tomato_village,test,leaf_miner,leaf_miner
516,IMG20220323101602.jpg,tomato_village,test,leaf_miner,leaf_miner
522,IMG20220323101717.jpg,tomato_village,test,leaf_miner,leaf_miner
524,IMG20220323101733.jpg,tomato_village,test,leaf_miner,leaf_miner
527,IMG20220323102031.jpg,tomato_village,test,leaf_miner,leaf_miner
528,IMG20220323102556.jpg,tomato_village,test,leaf_miner,leaf_miner
531,IMG20220323103247.jpg,tomato_village,test,leaf_miner,leaf_miner
532,IMG20220323103250.jpg,tomato_village,test,leaf_miner,leaf_miner
537,IMG20220323103527.jpg,tomato_village,test,leaf_miner,leaf_miner
538,IMG20220323103530.jpg,tomato_village,test,leaf_miner,leaf_miner
542,IMG20220323103621.jpg,tomato_village,test,leaf_miner,leaf_miner
546,IMG20220323103723.jpg,tomato_village,test,leaf_miner,leaf_miner
549,IMG20220323103811.jpg,tomato_village,test,leaf_miner,healthy
551,IMG20220323103821.jpg,tomato_village,test,leaf_miner,leaf_miner
554,IMG20220323104357.jpg,tomato_village,test,leaf_miner,spotted_wilt_virus
556,IMG20220323104502.jpg,tomato_village,test,leaf_miner,leaf_miner
558,IMG20220323104720.jpg,tomato_village,test,leaf_miner,leaf_miner
565,IMG20220323104842.jpg,tomato_village,test,leaf_miner,leaf_miner
571,IMG20220323105051.jpg,tomato_village,test,leaf_miner,leaf_miner
572,IMG20220323105059.jpg,tomato_village,test,leaf_miner,leaf_miner
573,IMG20220323105113.jpg,tomato_village,test,leaf_miner,spotted_wilt_virus
575,IMG20220323105208.jpg,tomato_village,test,leaf_miner,leaf_miner
591,IMG20220323105754.jpg,tomato_village,test,leaf_miner,leaf_miner
594,IMG20220323105936.jpg,tomato_village,test,leaf_miner,leaf_miner
598,IMG20220323110444.jpg,tomato_village,test,leaf_miner,leaf_miner
600,IMG20220323110453.jpg,tomato_village,test,leaf_miner,leaf_miner
606,IMG20220323110723.jpg,tomato_village,test,leaf_miner,leaf_miner
607,IMG20220323110725.jpg,tomato_village,test,leaf_miner,leaf_miner
613,IMG20220323111649.jpg,tomato_village,test,leaf_miner,leaf_miner
615,IMG20220323111800.jpg,tomato_village,test,leaf_miner,leaf_miner
620,IMG20220323121754.jpg,tomato_village,test,leaf_miner,leaf_miner
627,IMG20220323122704.jpg,tomato_village,test,leaf_miner,spotted_wilt_virus
629,IMG20220323123405.jpg,tomato_village,test,leaf_miner,leaf_miner
635,IMG20220323124210.jpg,tomato_village,test,leaf_miner,leaf_miner
638,IMG20220323124225.jpg,tomato_village,test,leaf_miner,leaf_miner
642,IMG20220323125451.jpg,tomato_village,test,leaf_miner,nutrient_deficiency
643,IMG20220323125632.jpg,tomato_village,test,leaf_miner,leaf_miner
646,IMG20220323125824.jpg,tomato_village,test,leaf_miner,leaf_miner
647,IMG20220323125829.jpg,tomato_village,test,leaf_miner,leaf_miner
652,IMG20220323130544.jpg,tomato_village,test,leaf_miner,leaf_miner
654,IMG20220323130559.jpg,tomato_village,test,leaf_miner,leaf_miner
663,IMG20220323131128.jpg,tomato_village,test,leaf_miner,leaf_miner
667,IMG20220323131640.jpg,tomato_village,test,leaf_miner,leaf_miner
669,IMG20220323131649.jpg,tomato_village,test,leaf_miner,leaf_miner
670,IMG20220323131731.jpg,tomato_village,test,leaf_miner,leaf_miner
671,IMG20220323131738.jpg,tomato_village,test,leaf_miner,leaf_miner
672,IMG20220323131742.jpg,tomato_village,test,leaf_miner,leaf_miner
676,IMG20220323132150.jpg,tomato_village,test,leaf_miner,leaf_miner
678,IMG20220323132345.jpg,tomato_village,test,leaf_miner,leaf_miner
679,IMG20220323172141.jpg,tomato_village,test,leaf_miner,leaf_miner
682,IMG20220323172214.jpg,tomato_village,test,leaf_miner,leaf_miner
689,IMG20220323175900.jpg,tomato_village,test,leaf_miner,leaf_miner
690,IMG20220323180149.jpg,tomato_village,test,leaf_miner,spotted_wilt_virus
692,IMG20220323180241.jpg,tomato_village,test,leaf_miner,leaf_miner
700,IMG20220323181227.jpg,tomato_village,test,leaf_miner,leaf_miner
701,IMG20220323181249.jpg,tomato_village,test,leaf_miner,leaf_miner
702,IMG20220323181307.jpg,tomato_village,test,leaf_miner,leaf_miner
707,IMG20220323181808.jpg,tomato_village,test,leaf_miner,leaf_miner
712,IMG20220323182445.jpg,tomato_village,test,leaf_miner,leaf_miner
724,IMG20220323184444.jpg,tomato_village,test,leaf_miner,leaf_miner
725,IMG20220323184502.jpg,tomato_village,test,leaf_miner,leaf_miner
729,IMG20220323184634.jpg,tomato_village,test,leaf_miner,nutrient_deficiency
735,IMG20220323185027.jpg,tomato_village,test,leaf_miner,leaf_miner
737,IMG20220323185126.jpg,tomato_village,test,leaf_miner,leaf_miner
739,IMG20220323185257.jpg,tomato_village,test,leaf_miner,leaf_miner
743,IMG20220323185448.jpg,tomato_village,test,leaf_miner,leaf_miner
746,IMG20220323185728.jpg,tomato_village,test,leaf_miner,healthy
747,IMG20220323185732.jpg,tomato_village,test,leaf_miner,leaf_miner
748,IMG20220324104702.jpg,tomato_village,test,leaf_miner,spotted_wilt_virus
751,IMG20220324105313.jpg,tomato_village,test,leaf_miner,leaf_miner
756,IMG20220324110532.jpg,tomato_village,test,leaf_miner,leaf_miner
757,IMG20220324110545.jpg,tomato_village,test,leaf_miner,leaf_miner
758,IMG20220324110628.jpg,tomato_village,test,leaf_miner,leaf_miner
759,IMG20220324110646.jpg,tomato_village,test,leaf_miner,leaf_miner
760,IMG20220324110916.jpg,tomato_village,test,leaf_miner,leaf_miner
761,IMG20220324110919.jpg,tomato_village,test,leaf_miner,leaf_miner
763,IMG20220324112204.jpg,tomato_village,test,leaf_miner,leaf_miner
766,IMG20220324112300.jpg,tomato_village,test,leaf_miner,healthy
768,IMG20220324112327.jpg,tomato_village,test,leaf_miner,healthy
769,IMG20220324112407.jpg,tomato_village,test,leaf_miner,leaf_miner
770,IMG20220324112459.jpg,tomato_village,test,leaf_miner,leaf_miner
774,IMG20220324112700.jpg,tomato_village,test,leaf_miner,leaf_miner
780,IMG20220324112829.jpg,tomato_village,test,leaf_miner,leaf_miner
783,IMG20220324113024.jpg,tomato_village,test,leaf_miner,leaf_miner
784,IMG20220324113118.jpg,tomato_village,test,leaf_miner,leaf_miner
786,IMG20220324113303.jpg,tomato_village,test,leaf_miner,healthy
787,IMG20220324113320.jpg,tomato_village,test,leaf_miner,leaf_miner
804,IMG20220324114138.jpg,tomato_village,test,leaf_miner,healthy
808,IMG20220324114431.jpg,tomato_village,test,leaf_miner,leaf_miner
820,IMG20220324114629.jpg,tomato_village,test,leaf_miner,leaf_miner
826,IMG20220324114908.jpg,tomato_village,test,leaf_miner,leaf_miner
828,IMG20220324115025.jpg,tomato_village,test,leaf_miner,leaf_miner
829,IMG20220324115039.jpg,tomato_village,test,leaf_miner,leaf_miner
832,IMG20220324115238.jpg,tomato_village,test,leaf_miner,leaf_miner
839,IMG20220324115602.jpg,tomato_village,test,leaf_miner,leaf_miner
842,IMG20220324115847.jpg,tomato_village,test,leaf_miner,nutrient_deficiency
843,IMG20220324120048.jpg,tomato_village,test,leaf_miner,leaf_miner
845,IMG20220324120101.jpg,tomato_village,test,leaf_miner,leaf_miner
849,IMG20220324120353.jpg,tomato_village,test,leaf_miner,leaf_miner
855,IMG20220324120749.jpg,tomato_village,test,leaf_miner,leaf_miner
858,IMG20220324120938.jpg,tomato_village,test,leaf_miner,leaf_miner
859,IMG20220324120951.jpg,tomato_village,test,leaf_miner,leaf_miner
860,IMG20220324121029.jpg,tomato_village,test,leaf_miner,leaf_miner
867,IMG20220324121308.jpg,tomato_village,test,leaf_miner,leaf_miner
870,IMG20220324121433.jpg,tomato_village,test,leaf_miner,leaf_miner
872,IMG20220324121716.jpg,tomato_village,test,leaf_miner,leaf_miner
878,IMG20220324121948.jpg,tomato_village,test,leaf_miner,leaf_miner
881,IMG20220324122000.jpg,tomato_village,test,leaf_miner,leaf_miner
884,IMG20220324122115.jpg,tomato_village,test,leaf_miner,leaf_miner
889,IMG20220324122331.jpg,tomato_village,test,leaf_miner,spotted_wilt_virus
895,IMG20220324174942.jpg,tomato_village,test,leaf_miner,leaf_miner
900,IMG20220324175046.jpg,tomato_village,test,leaf_miner,leaf_miner
904,IMG20220324175220.jpg,tomato_village,test,leaf_miner,leaf_miner
906,IMG20220324175455.jpg,tomato_village,test,leaf_miner,leaf_miner
910,IMG20220324175928.jpg,tomato_village,test,leaf_miner,leaf_miner
911,IMG20220324175934.jpg,tomato_village,test,leaf_miner,leaf_miner
915,IMG20220324180002.jpg,tomato_village,test,leaf_miner,leaf_miner
916,IMG20220324180005.jpg,tomato_village,test,leaf_miner,leaf_miner
919,IMG20220324180023.jpg,tomato_village,test,leaf_miner,leaf_miner
920,IMG20220324180043.jpg,tomato_village,test,leaf_miner,leaf_miner
922,IMG20220324180242.jpg,tomato_village,test,leaf_miner,leaf_miner
923,IMG20220324180302.jpg,tomato_village,test,leaf_miner,leaf_miner
924,IMG20220324180308.jpg,tomato_village,test,leaf_miner,leaf_miner
925,IMG20220324180312.jpg,tomato_village,test,leaf_miner,leaf_miner
926,IMG20220324180438.jpg,tomato_village,test,leaf_miner,leaf_miner
932,IMG20220324180611.jpg,tomato_village,test,leaf_miner,leaf_miner
934,IMG20220324180659.jpg,tomato_village,test,leaf_miner,leaf_miner
937,IMG20220324180808.jpg,tomato_village,test,leaf_miner,leaf_miner
939,IMG20220324181051.jpg,tomato_village,test,leaf_miner,leaf_miner
945,IMG20220324181328.jpg,tomato_village,test,leaf_miner,leaf_miner
946,IMG20220324181345.jpg,tomato_village,test,leaf_miner,leaf_miner
947,IMG20220324181429.jpg,tomato_village,test,leaf_miner,leaf_miner
949,IMG20220324181501.jpg,tomato_village,test,leaf_miner,leaf_miner
950,IMG20220324181528.jpg,tomato_village,test,leaf_miner,leaf_miner
951,IMG20220324181644.jpg,tomato_village,test,leaf_miner,leaf_miner
958,IMG20220324182402.jpg,tomato_village,test,leaf_miner,leaf_miner
963,IMG20220324183552.jpg,tomato_village,test,leaf_miner,leaf_miner
972,IMG20220324183836.jpg,tomato_village,test,leaf_miner,leaf_miner
973,IMG20220324183838.jpg,tomato_village,test,leaf_miner,leaf_miner
974,IMG20220324183908.jpg,tomato_village,test,leaf_miner,leaf_miner
975,IMG20220324183910.jpg,tomato_village,test,leaf_miner,leaf_miner
978,IMG20220324184206.jpg,tomato_village,test,leaf_miner,leaf_miner
981,IMG20220324184405.jpg,tomato_village,test,leaf_miner,leaf_miner
983,IMG20220325105422.jpg,tomato_village,test,leaf_miner,leaf_miner
990,IMG20220325105606.jpg,tomato_village,test,leaf_miner,leaf_miner
997,IMG20220325110522.jpg,tomato_village,test,leaf_miner,nutrient_deficiency
1004,IMG20220325110812.jpg,tomato_village,test,leaf_miner,leaf_miner
1016,IMG20220325112153.jpg,tomato_village,test,leaf_miner,healthy
1017,IMG20220325112235.jpg,tomato_village,test,leaf_miner,healthy
1019,IMG20220325112420.jpg,tomato_village,test,leaf_miner,leaf_miner
1025,IMG20220325113011.jpg,tomato_village,test,leaf_miner,leaf_miner
1026,IMG20220325113106.jpg,tomato_village,test,leaf_miner,leaf_miner
1029,IMG20220325113445.jpg,tomato_village,test,leaf_miner,leaf_miner
1032,IMG20220325113512.jpg,tomato_village,test,leaf_miner,spotted_wilt_virus
1033,IMG20220325113526.jpg,tomato_village,test,leaf_miner,leaf_miner
1035,IMG20220325113634.jpg,tomato_village,test,leaf_miner,spotted_wilt_virus
1038,IMG20220325113706.jpg,tomato_village,test,leaf_miner,leaf_miner
1039,IMG20220325113716.jpg,tomato_village,test,leaf_miner,leaf_miner
1044,IMG20220325113920.jpg,tomato_village,test,leaf_miner,leaf_miner
1048,IMG20220325114022.jpg,tomato_village,test,leaf_miner,leaf_miner
1049,IMG20220325114027.jpg,tomato_village,test,leaf_miner,leaf_miner
1050,IMG20220325114058.jpg,tomato_village,test,leaf_miner,leaf_miner
1051,IMG20220325114311.jpg,tomato_village,test,leaf_miner,leaf_miner
1055,IMG20220325114417.jpg,tomato_village,test,leaf_miner,leaf_miner
1067,IMG20220325114754.jpg,tomato_village,test,leaf_miner,leaf_miner
1068,IMG20220325114906.jpg,tomato_village,test,leaf_miner,leaf_miner
1071,IMG20220325115003.jpg,tomato_village,test,leaf_miner,healthy
1074,IMG20220325115354.jpg,tomato_village,test,leaf_miner,leaf_miner
1084,IMG20220325120149.jpg,tomato_village,test,leaf_miner,leaf_miner
1088,IMG20220325120610.jpg,tomato_village,test,leaf_miner,healthy
1092,IMG20220325120849.jpg,tomato_village,test,leaf_miner,leaf_miner
1094,IMG20220325120930.jpg,tomato_village,test,leaf_miner,leaf_miner
1095,IMG20220325120953.jpg,tomato_village,test,leaf_miner,nutrient_deficiency
1096,IMG20220325121026.jpg,tomato_village,test,leaf_miner,leaf_miner
1103,IMG20220325133258.jpg,tomato_village,test,leaf_miner,nutrient_deficiency
1105,IMG20220325133458.jpg,tomato_village,test,leaf_miner,nutrient_deficiency
1106,IMG20220325133509.jpg,tomato_village,test,leaf_miner,leaf_miner
1107,IMG20220325133517.jpg,tomato_village,test,leaf_miner,leaf_miner
1108,IMG20220325133528.jpg,tomato_village,test,leaf_miner,leaf_miner
1112,IMG20220325133639.jpg,tomato_village,test,leaf_miner,leaf_miner
1118,IMG20220325133740.jpg,tomato_village,test,leaf_miner,leaf_miner
1126,IMG20220325133946.jpg,tomato_village,test,leaf_miner,leaf_miner
1128,IMG20220325134014.jpg,tomato_village,test,leaf_miner,leaf_miner
1134,IMG20220325134219.jpg,tomato_village,test,leaf_miner,spotted_wilt_virus
1135,IMG20220325134309.jpg,tomato_village,test,leaf_miner,leaf_miner
1140,IMG20220325134628.jpg,tomato_village,test,leaf_miner,healthy
1142,IMG20220325134711.jpg,tomato_village,test,leaf_miner,leaf_miner
1149,IMG20220325135400.jpg,tomato_village,test,leaf_miner,healthy
1153,IMG20220325140203.jpg,tomato_village,test,leaf_miner,leaf_miner
1159,IMG20220325140253.jpg,tomato_village,test,leaf_miner,leaf_miner
1160,IMG20220325140255.jpg,tomato_village,test,leaf_miner,leaf_miner
1162,IMG20220325140741.jpg,tomato_village,test,leaf_miner,leaf_miner
1165,IMG20220325140756.jpg,tomato_village,test,leaf_miner,leaf_miner
1166,IMG20220325140825.jpg,tomato_village,test,leaf_miner,leaf_miner
1169,IMG20220325140856.jpg,tomato_village,test,leaf_miner,leaf_miner
1177,IMG20220325141300.jpg,tomato_village,test,leaf_miner,leaf_miner
1180,IMG20220325141319.jpg,tomato_village,test,leaf_miner,leaf_miner
1182,IMG20220325141404.jpg,tomato_village,test,leaf_miner,leaf_miner
1184,IMG20220325141432.jpg,tomato_village,test,leaf_miner,leaf_miner
1190,IMG20220325141559.jpg,tomato_village,test,leaf_miner,nutrient_deficiency
1192,IMG20220325141632.jpg,tomato_village,test,leaf_miner,leaf_miner
1200,IMG20220325141857.jpg,tomato_village,test,leaf_miner,leaf_miner
1203,IMG20220325142003.jpg,tomato_village,test,leaf_miner,leaf_miner
1204,IMG20220325142008.jpg,tomato_village,test,leaf_miner,leaf_miner
1206,IMG20220325142146.jpg,tomato_village,test,leaf_miner,leaf_miner
1207,IMG20220325142430.jpg,tomato_village,test,leaf_miner,healthy
1211,IMG20220323093844.jpg,tomato_village,test,leaf_miner,nutrient_deficiency
1214,IMG20220323101534.jpg,tomato_village,test,leaf_miner,leaf_miner
1217,IMG20220323101949.jpg,tomato_village,test,leaf_miner,leaf_miner
1218,IMG20220323102111.jpg,tomato_village,test,leaf_miner,leaf_miner
1225,IMG20220323103947.jpg,tomato_village,test,leaf_miner,leaf_miner
1230,IMG20220323110026.jpg,tomato_village,test,leaf_miner,leaf_miner
1231,IMG20220323110544.jpg,tomato_village,test,leaf_miner,leaf_miner
1233,IMG20220323110727.jpg,tomato_village,test,leaf_miner,leaf_miner
1234,IMG20220323110804.jpg,tomato_village,test,leaf_miner,leaf_miner
1235,IMG20220323110816.jpg,tomato_village,test,leaf_miner,leaf_miner
1236,IMG20220323110903.jpg,tomato_village,test,leaf_miner,leaf_miner
1241,IMG20220323121700.jpg,tomato_village,test,leaf_miner,leaf_miner
1242,IMG20220323122455.jpg,tomato_village,test,leaf_miner,leaf_miner
1243,IMG20220323122725.jpg,tomato_village,test,leaf_miner,leaf_miner
1244,IMG20220323123548.jpg,tomato_village,test,leaf_miner,leaf_miner
1247,IMG20220323125446.jpg,tomato_village,test,leaf_miner,leaf_miner
1248,IMG20220323125455.jpg,tomato_village,test,leaf_miner,leaf_miner
1252,IMG20220323130609.jpg,tomato_village,test,leaf_miner,leaf_miner
1264,IMG20220323181501.jpg,tomato_village,test,leaf_miner,spotted_wilt_virus
1265,IMG20220323181543.jpg,tomato_village,test,leaf_miner,leaf_miner
1270,IMG20220323184755.jpg,tomato_village,test,leaf_miner,spotted_wilt_virus
1273,IMG20220323185049.jpg,tomato_village,test,leaf_miner,leaf_miner
1276,IMG20220324110602.jpg,tomato_village,test,leaf_miner,leaf_miner
1282,IMG20220324112907.jpg,tomato_village,test,leaf_miner,leaf_miner
