,filename,source,subset,class,plant,pred
148,IMG20220324120936.jpg,tomato_village,test,healthy,tomato,tomato
151,IMG20220324121832.jpg,tomato_village,test,healthy,tomato,tomato
153,IMG20220324175653.jpg,tomato_village,test,healthy,tomato,tomato
157,IMG20220324183800.jpg,tomato_village,test,healthy,tomato,tomato
160,IMG20220325105627.jpg,tomato_village,test,healthy,tomato,tomato
161,IMG20220325105910.jpg,tomato_village,test,healthy,tomato,tomato
165,IMG20220325111940.jpg,tomato_village,test,healthy,tomato,tomato
167,IMG20220325113720.jpg,tomato_village,test,healthy,tomato,tomato
168,IMG20220325113822.jpg,tomato_village,test,healthy,tomato,tomato
171,IMG20220325114117.jpg,tomato_village,test,healthy,tomato,tomato
172,IMG20220325114131.jpg,tomato_village,test,healthy,tomato,tomato
178,IMG20220325114231.jpg,tomato_village,test,healthy,tomato,tomato
179,IMG20220325114623.jpg,tomato_village,test,healthy,tomato,tomato
180,IMG20220325114626.jpg,tomato_village,test,healthy,tomato,tomato
182,IMG20220325115449.jpg,tomato_village,test,healthy,tomato,tomato
183,IMG20220325120421.jpg,tomato_village,test,healthy,tomato,tomato
184,IMG20220325120423.jpg,tomato_village,test,healthy,tomato,tomato
187,IMG20220325121059.jpg,tomato_village,test,healthy,tomato,tomato
189,IMG20220325121221.jpg,tomato_village,test,healthy,tomato,tomato
190,IMG20220325133245.jpg,tomato_village,test,healthy,tomato,tomato
192,IMG20220325133658.jpg,tomato_village,test,healthy,tomato,tomato
199,IMG20220325134330.jpg,tomato_village,test,healthy,tomato,tomato
201,IMG20220325134439.jpg,tomato_village,test,healthy,tomato,tomato
206,IMG20220325135221.jpg,tomato_village,test,healthy,tomato,tomato
208,IMG20220325135257.jpg,tomato_village,test,healthy,tomato,tomato
215,IMG20220325141056.jpg,tomato_village,test,healthy,tomato,tomato
216,IMG20220325141235.jpg,tomato_village,test,healthy,tomato,tomato
218,IMG20220325141244.jpg,tomato_village,test,healthy,tomato,tomato
220,IMG20220325141445.jpg,tomato_village,test,healthy,tomato,tomato
226,IMG20220325142126.jpg,tomato_village,test,healthy,tomato,tomato
228,IMG20220325142359.jpg,tomato_village,test,healthy,tomato,tomato
230,IMG20220325142427.jpg,tomato_village,test,healthy,tomato,tomato
236,IMG20220323183236.jpg,tomato_village,test,healthy,tomato,tomato
242,IMG20220324112342.jpg,tomato_village,test,healthy,tomato,tomato
243,IMG20220324113317.jpg,tomato_village,test,healthy,tomato,tomato
252,IMG20220324122029.jpg,tomato_village,test,healthy,tomato,tomato
253,IMG20220325105012.jpg,tomato_village,test,healthy,tomato,tomato
254,IMG20220325105015.jpg,tomato_village,test,healthy,tomato,tomato
256,IMG20220325105913.jpg,tomato_village,test,healthy,tomato,tomato
257,IMG20220325113945.jpg,tomato_village,test,healthy,tomato,tomato
259,IMG20220325120553.jpg,tomato_village,test,healthy,tomato,tomato
261,IMG20220325133905.jpg,tomato_village,test,healthy,tomato,tomato
268,IMG20220325135045.jpg,tomato_village,test,healthy,tomato,tomato
270,IMG20220325135159.jpg,tomato_village,test,healthy,tomato,tomato
272,IMG20220325135434.jpg,tomato_village,test,healthy,tomato,tomato
275,IMG20220325142157.jpg,tomato_village,test,healthy,tomato,tomato
276,IMG20220325142514.jpg,tomato_village,test,healthy,tomato,tomato
280,IMG20220324105456.jpg,tomato_village,test,late_blight,tomato,tomato
282,IMG20220324121427.jpg,tomato_village,test,late_blight,tomato,tomato
283,IMG20220324121558.jpg,tomato_village,test,late_blight,tomato,tomato
288,IMG20220325134406.jpg,tomato_village,test,late_blight,tomato,tomato
289,IMG20220325135513.jpg,tomato_village,test,late_blight,tomato,tomato
293,IMG20220323122740.jpg,tomato_village,test,late_blight,tomato,tomato
295,IMG20220323122853.jpg,tomato_village,test,late_blight,tomato,tomato
298,IMG20220323124538.jpg,tomato_village,test,late_blight,tomato,tomato
306,IMG20220323130703.jpg,tomato_village,test,late_blight,tomato,tomato
311,IMG20220323180803.jpg,tomato_village,test,late_blight,tomato,tomato
313,IMG20220323181038.jpg,tomato_village,test,late_blight,tomato,tomato
314,IMG20220323181113.jpg,tomato_village,test,late_blight,tomato,tomato
316,IMG20220323181329.jpg,tomato_village,test,late_blight,tomato,tomato
324,IMG20220323183714.jpg,tomato_village,test,late_blight,tomato,tomato
326,IMG20220323185543.jpg,tomato_village,test,late_blight,tomato,tomato
343,IMG20220324121446.jpg,tomato_village,test,late_blight,tomato,tomato
349,IMG20220324180137.jpg,tomato_village,test,late_blight,tomato,tomato
350,IMG20220324181743.jpg,tomato_village,test,late_blight,tomato,tomato
352,IMG20220325110725.jpg,tomato_village,test,late_blight,tomato,tomato
353,IMG20220325111253.jpg,tomato_village,test,late_blight,tomato,tomato
355,IMG20220325111332.jpg,tomato_village,test,late_blight,tomato,tomato
356,IMG20220325111358.jpg,tomato_village,test,late_blight,tomato,tomato
359,IMG20220325111442.jpg,tomato_village,test,late_blight,tomato,tomato
363,IMG20220325142437.jpg,tomato_village,test,late_blight,tomato,tomato
367,IMG20220325142616.jpg,tomato_village,test,late_blight,tomato,tomato
368,IMG20220323122542.jpg,tomato_village,test,late_blight,tomato,tomato
369,IMG20220323122847.jpg,tomato_village,test,late_blight,tomato,tomato
371,IMG20220323132118.jpg,tomato_village,test,late_blight,tomato,tomato
372,IMG20220323181018.jpg,tomato_village,test,late_blight,tomato,tomato
377,IMG20220324104734.jpg,tomato_village,test,late_blight,tomato,tomato
380,IMG20220324112704.jpg,tomato_village,test,late_blight,tomato,tomato
381,IMG20220324121424.jpg,tomato_village,test,late_blight,tomato,tomato
385,IMG20220325111356.jpg,tomato_village,test,late_blight,tomato,tomato
388,IMG20220325111412.jpg,tomato_village,test,late_blight,tomato,tomato
393,IMG20220323100035.jpg,tomato_village,test,leaf_miner,tomato,tomato
396,IMG20220323103413.jpg,tomato_village,test,leaf_miner,tomato,tomato
399,IMG20220323103715.jpg,tomato_village,test,leaf_miner,tomato,tomato
403,IMG20220323121813.jpg,tomato_village,test,leaf_miner,tomato,tomato
406,IMG20220323125820.jpg,tomato_village,test,leaf_miner,tomato,tomato
407,IMG20220323130211.jpg,tomato_village,test,leaf_miner,tomato,tomato
414,IMG20220323184733.jpg,tomato_village,test,leaf_miner,tomato,tomato
415,IMG20220323184815.jpg,tomato_village,test,leaf_miner,tomato,tomato
417,IMG20220323185719.jpg,tomato_village,test,leaf_miner,tomato,tomato
419,IMG20220324110820.jpg,tomato_village,test,leaf_miner,tomato,tomato
421,IMG20220324112317.jpg,tomato_village,test,leaf_miner,tomato,tomato
422,IMG20220324113020.jpg,tomato_village,test,leaf_miner,tomato,tomato
428,IMG20220324114549.jpg,tomato_village,test,leaf_miner,tomato,tomato
437,IMG20220324180037.jpg,tomato_village,test,leaf_miner,tomato,tomato
440,IMG20220324180357.jpg,tomato_village,test,leaf_miner,tomato,tomato
442,IMG20220324180729.jpg,tomato_village,test,leaf_miner,tomato,tomato
450,IMG20220324183511.jpg,tomato_village,test,leaf_miner,tomato,tomato
462,IMG20220325112914.jpg,tomato_village,test,leaf_miner,tomato,tomato
464,IMG20220325113800.jpg,tomato_village,test,leaf_miner,tomato,tomato
465,IMG20220325114103.jpg,tomato_village,test,leaf_miner,tomato,tomato
469,IMG20220325114541.jpg,tomato_village,test,leaf_miner,tomato,tomato
470,IMG20220325114708.jpg,tomato_village,test,leaf_miner,tomato,tomato
472,IMG20220325114912.jpg,tomato_village,test,leaf_miner,tomato,tomato
476,IMG20220325120151.jpg,tomato_village,test,leaf_miner,tomato,tomato
477,IMG20220325120626.jpg,tomato_village,test,leaf_miner,tomato,tomato
479,IMG20220325133610.jpg,tomato_village,test,leaf_miner,tomato,tomato
484,IMG20220325135156.jpg,tomato_village,test,leaf_miner,tomato,tomato
486,IMG20220325140147.jpg,tomato_village,test,leaf_miner,tomato,tomato
487,IMG20220325141015.jpg,tomato_village,test,leaf_miner,tomato,tomato
494,IMG20220325142605.jpg,tomato_village,test,leaf_miner,tomato,tomato
506,IMG20220323095725.jpg,tomato_village,test,leaf_miner,tomato,tomato
507,IMG20220323095905.jpg,tomato_village,test,leaf_miner,tomato,tomato
509,IMG20220323100050.jpg,tomato_village,test,leaf_miner,tomato,tomato
512,IMG20220323101248.jpg,tomato_village,test,leaf_miner,tomato,tomato
516,IMG20220323101602.jpg,tomato_village,test,leaf_miner,tomato,tomato
522,IMG20220323101717.jpg,tomato_village,test,leaf_miner,tomato,tomato
524,IMG20220323101733.jpg,tomato_village,test,leaf_miner,tomato,tomato
527,IMG20220323102031.jpg,tomato_village,test,leaf_miner,tomato,tomato
528,IMG20220323102556.jpg,tomato_village,test,leaf_miner,tomato,tomato
531,IMG20220323103247.jpg,tomato_village,test,leaf_miner,tomato,tomato
532,IMG20220323103250.jpg,tomato_village,test,leaf_miner,tomato,tomato
537,IMG20220323103527.jpg,tomato_village,test,leaf_miner,tomato,tomato
538,IMG20220323103530.jpg,tomato_village,test,leaf_miner,tomato,tomato
542,IMG20220323103621.jpg,tomato_village,test,leaf_miner,tomato,tomato
546,IMG20220323103723.jpg,tomato_village,test,leaf_miner,tomato,tomato
549,IMG20220323103811.jpg,tomato_village,test,leaf_miner,tomato,tomato
551,IMG20220323103821.jpg,tomato_village,test,leaf_miner,tomato,tomato
554,IMG20220323104357.jpg,tomato_village,test,leaf_miner,tomato,tomato
556,IMG20220323104502.jpg,tomato_village,test,leaf_miner,tomato,tomato
558,IMG20220323104720.jpg,tomato_village,test,leaf_miner,tomato,tomato
565,IMG20220323104842.jpg,tomato_village,test,leaf_miner,tomato,tomato
571,IMG20220323105051.jpg,tomato_village,test,leaf_miner,tomato,tomato
572,IMG20220323105059.jpg,tomato_village,test,leaf_miner,tomato,tomato
573,IMG20220323105113.jpg,tomato_village,test,leaf_miner,tomato,tomato
575,IMG20220323105208.jpg,tomato_village,test,leaf_miner,tomato,tomato
591,IMG20220323105754.jpg,tomato_village,test,leaf_miner,tomato,tomato
594,IMG20220323105936.jpg,tomato_village,test,leaf_miner,tomato,tomato
598,IMG20220323110444.jpg,tomato_village,test,leaf_miner,tomato,tomato
600,IMG20220323110453.jpg,tomato_village,test,leaf_miner,tomato,tomato
606,IMG20220323110723.jpg,tomato_village,test,leaf_miner,tomato,tomato
607,IMG20220323110725.jpg,tomato_village,test,leaf_miner,tomato,tomato
613,IMG20220323111649.jpg,tomato_village,test,leaf_miner,tomato,tomato
615,IMG20220323111800.jpg,tomato_village,test,leaf_miner,tomato,tomato
620,IMG20220323121754.jpg,tomato_village,test,leaf_miner,tomato,tomato
627,IMG20220323122704.jpg,tomato_village,test,leaf_miner,tomato,tomato
629,IMG20220323123405.jpg,tomato_village,test,leaf_miner,tomato,tomato
635,IMG20220323124210.jpg,tomato_village,test,leaf_miner,tomato,tomato
638,IMG20220323124225.jpg,tomato_village,test,leaf_miner,tomato,tomato
642,IMG20220323125451.jpg,tomato_village,test,leaf_miner,tomato,tomato
643,IMG20220323125632.jpg,tomato_village,test,leaf_miner,tomato,tomato
646,IMG20220323125824.jpg,tomato_village,test,leaf_miner,tomato,tomato
647,IMG20220323125829.jpg,tomato_village,test,leaf_miner,tomato,tomato
652,IMG20220323130544.jpg,tomato_village,test,leaf_miner,tomato,tomato
654,IMG20220323130559.jpg,tomato_village,test,leaf_miner,tomato,tomato
663,IMG20220323131128.jpg,tomato_village,test,leaf_miner,tomato,tomato
667,IMG20220323131640.jpg,tomato_village,test,leaf_miner,tomato,tomato
669,IMG20220323131649.jpg,tomato_village,test,leaf_miner,tomato,tomato
670,IMG20220323131731.jpg,tomato_village,test,leaf_miner,tomato,tomato
671,IMG20220323131738.jpg,tomato_village,test,leaf_miner,tomato,tomato
672,IMG20220323131742.jpg,tomato_village,test,leaf_miner,tomato,tomato
676,IMG20220323132150.jpg,tomato_village,test,leaf_miner,tomato,tomato
678,IMG20220323132345.jpg,tomato_village,test,leaf_miner,tomato,tomato
679,IMG20220323172141.jpg,tomato_village,test,leaf_miner,tomato,tomato
682,IMG20220323172214.jpg,tomato_village,test,leaf_miner,tomato,tomato
689,IMG20220323175900.jpg,tomato_village,test,leaf_miner,tomato,tomato
690,IMG20220323180149.jpg,tomato_village,test,leaf_miner,tomato,tomato
692,IMG20220323180241.jpg,tomato_village,test,leaf_miner,tomato,tomato
700,IMG20220323181227.jpg,tomato_village,test,leaf_miner,tomato,tomato
701,IMG20220323181249.jpg,tomato_village,test,leaf_miner,tomato,tomato
702,IMG20220323181307.jpg,tomato_village,test,leaf_miner,tomato,tomato
707,IMG20220323181808.jpg,tomato_village,test,leaf_miner,tomato,tomato
712,IMG20220323182445.jpg,tomato_village,test,leaf_miner,tomato,tomato
724,IMG20220323184444.jpg,tomato_village,test,leaf_miner,tomato,tomato
725,IMG20220323184502.jpg,tomato_village,test,leaf_miner,tomato,tomato
729,IMG20220323184634.jpg,tomato_village,test,leaf_miner,tomato,tomato
735,IMG20220323185027.jpg,tomato_village,test,leaf_miner,tomato,tomato
737,IMG20220323185126.jpg,tomato_village,test,leaf_miner,tomato,tomato
739,IMG20220323185257.jpg,tomato_village,test,leaf_miner,tomato,tomato
743,IMG20220323185448.jpg,tomato_village,test,leaf_miner,tomato,tomato
746,IMG20220323185728.jpg,tomato_village,test,leaf_miner,tomato,tomato
747,IMG20220323185732.jpg,tomato_village,test,leaf_miner,tomato,tomato
748,IMG20220324104702.jpg,tomato_village,test,leaf_miner,tomato,tomato
751,IMG20220324105313.jpg,tomato_village,test,leaf_miner,tomato,tomato
756,IMG20220324110532.jpg,tomato_village,test,leaf_miner,tomato,tomato
757,IMG20220324110545.jpg,tomato_village,test,leaf_miner,tomato,tomato
758,IMG20220324110628.jpg,tomato_village,test,leaf_miner,tomato,tomato
759,IMG20220324110646.jpg,tomato_village,test,leaf_miner,tomato,tomato
760,IMG20220324110916.jpg,tomato_village,test,leaf_miner,tomato,tomato
761,IMG20220324110919.jpg,tomato_village,test,leaf_miner,tomato,tomato
763,IMG20220324112204.jpg,tomato_village,test,leaf_miner,tomato,tomato
766,IMG20220324112300.jpg,tomato_village,test,leaf_miner,tomato,tomato
768,IMG20220324112327.jpg,tomato_village,test,leaf_miner,tomato,tomato
769,IMG20220324112407.jpg,tomato_village,test,leaf_miner,tomato,tomato
770,IMG20220324112459.jpg,tomato_village,test,leaf_miner,tomato,tomato
774,IMG20220324112700.jpg,tomato_village,test,leaf_miner,tomato,tomato
780,IMG20220324112829.jpg,tomato_village,test,leaf_miner,tomato,tomato
783,IMG20220324113024.jpg,tomato_village,test,leaf_miner,tomato,tomato
784,IMG20220324113118.jpg,tomato_village,test,leaf_miner,tomato,tomato
786,IMG20220324113303.jpg,tomato_village,test,leaf_miner,tomato,tomato
787,IMG20220324113320.jpg,tomato_village,test,leaf_miner,tomato,tomato
804,IMG20220324114138.jpg,tomato_village,test,leaf_miner,tomato,tomato
808,IMG20220324114431.jpg,tomato_village,test,leaf_miner,tomato,tomato
820,IMG20220324114629.jpg,tomato_village,test,leaf_miner,tomato,tomato
826,IMG20220324114908.jpg,tomato_village,test,leaf_miner,tomato,tomato
828,IMG20220324115025.jpg,tomato_village,test,leaf_miner,tomato,tomato
829,IMG20220324115039.jpg,tomato_village,test,leaf_miner,tomato,tomato
832,IMG20220324115238.jpg,tomato_village,test,leaf_miner,tomato,tomato
839,IMG20220324115602.jpg,tomato_village,test,leaf_miner,tomato,tomato
842,IMG20220324115847.jpg,tomato_village,test,leaf_miner,tomato,tomato
843,IMG20220324120048.jpg,tomato_village,test,leaf_miner,tomato,tomato
845,IMG20220324120101.jpg,tomato_village,test,leaf_miner,tomato,tomato
849,IMG20220324120353.jpg,tomato_village,test,leaf_miner,tomato,tomato
855,IMG20220324120749.jpg,tomato_village,test,leaf_miner,tomato,tomato
858,IMG20220324120938.jpg,tomato_village,test,leaf_miner,tomato,tomato
859,IMG20220324120951.jpg,tomato_village,test,leaf_miner,tomato,tomato
860,IMG20220324121029.jpg,tomato_village,test,leaf_miner,tomato,tomato
867,IMG20220324121308.jpg,tomato_village,test,leaf_miner,tomato,tomato
870,IMG20220324121433.jpg,tomato_village,test,leaf_miner,tomato,tomato
872,IMG20220324121716.jpg,tomato_village,test,leaf_miner,tomato,tomato
878,IMG20220324121948.jpg,tomato_village,test,leaf_miner,tomato,tomato
881,IMG20220324122000.jpg,tomato_village,test,leaf_miner,tomato,tomato
884,IMG20220324122115.jpg,tomato_village,test,leaf_miner,tomato,tomato
889,IMG20220324122331.jpg,tomato_village,test,leaf_miner,tomato,tomato
895,IMG20220324174942.jpg,tomato_village,test,leaf_miner,tomato,tomato
900,IMG20220324175046.jpg,tomato_village,test,leaf_miner,tomato,tomato
904,IMG20220324175220.jpg,tomato_village,test,leaf_miner,tomato,tomato
906,IMG20220324175455.jpg,tomato_village,test,leaf_miner,tomato,tomato
910,IMG20220324175928.jpg,tomato_village,test,leaf_miner,tomato,tomato
911,IMG20220324175934.jpg,tomato_village,test,leaf_miner,tomato,tomato
915,IMG20220324180002.jpg,tomato_village,test,leaf_miner,tomato,tomato
916,IMG20220324180005.jpg,tomato_village,test,leaf_miner,tomato,tomato
919,IMG20220324180023.jpg,tomato_village,test,leaf_miner,tomato,tomato
920,IMG20220324180043.jpg,tomato_village,test,leaf_miner,tomato,tomato
922,IMG20220324180242.jpg,tomato_village,test,leaf_miner,tomato,tomato
923,IMG20220324180302.jpg,tomato_village,test,leaf_miner,tomato,tomato
924,IMG20220324180308.jpg,tomato_village,test,leaf_miner,tomato,tomato
925,IMG20220324180312.jpg,tomato_village,test,leaf_miner,tomato,tomato
926,IMG20220324180438.jpg,tomato_village,test,leaf_miner,tomato,tomato
932,IMG20220324180611.jpg,tomato_village,test,leaf_miner,tomato,tomato
934,IMG20220324180659.jpg,tomato_village,test,leaf_miner,tomato,tomato
937,IMG20220324180808.jpg,tomato_village,test,leaf_miner,tomato,tomato
939,IMG20220324181051.jpg,tomato_village,test,leaf_miner,tomato,tomato
945,IMG20220324181328.jpg,tomato_village,test,leaf_miner,tomato,tomato
946,IMG20220324181345.jpg,tomato_village,test,leaf_miner,tomato,tomato
947,IMG20220324181429.jpg,tomato_village,test,leaf_miner,tomato,tomato
949,IMG20220324181501.jpg,tomato_village,test,leaf_miner,tomato,tomato
950,IMG20220324181528.jpg,tomato_village,test,leaf_miner,tomato,tomato
951,IMG20220324181644.jpg,tomato_village,test,leaf_miner,tomato,tomato
958,IMG20220324182402.jpg,tomato_village,test,leaf_miner,tomato,tomato
963,IMG20220324183552.jpg,tomato_village,test,leaf_miner,tomato,tomato
972,IMG20220324183836.jpg,tomato_village,test,leaf_miner,tomato,tomato
973,IMG20220324183838.jpg,tomato_village,test,leaf_miner,tomato,tomato
974,IMG20220324183908.jpg,tomato_village,test,leaf_miner,tomato,tomato
975,IMG20220324183910.jpg,tomato_village,test,leaf_miner,tomato,tomato
978,IMG20220324184206.jpg,tomato_village,test,leaf_miner,tomato,tomato
981,IMG20220324184405.jpg,tomato_village,test,leaf_miner,tomato,tomato
983,IMG20220325105422.jpg,tomato_village,test,leaf_miner,tomato,tomato
990,IMG20220325105606.jpg,tomato_village,test,leaf_miner,tomato,tomato
997,IMG20220325110522.jpg,tomato_village,test,leaf_miner,tomato,tomato
1004,IMG20220325110812.jpg,tomato_village,test,leaf_miner,tomato,tomato
1016,IMG20220325112153.jpg,tomato_village,test,leaf_miner,tomato,tomato
1017,IMG20220325112235.jpg,tomato_village,test,leaf_miner,tomato,tomato
1019,IMG20220325112420.jpg,tomato_village,test,leaf_miner,tomato,tomato
1025,IMG20220325113011.jpg,tomato_village,test,leaf_miner,tomato,tomato
1026,IMG20220325113106.jpg,tomato_village,test,leaf_miner,tomato,tomato
1029,IMG20220325113445.jpg,tomato_village,test,leaf_miner,tomato,tomato
1032,IMG20220325113512.jpg,tomato_village,test,leaf_miner,tomato,tomato
1033,IMG20220325113526.jpg,tomato_village,test,leaf_miner,tomato,tomato
1035,IMG20220325113634.jpg,tomato_village,test,leaf_miner,tomato,tomato
1038,IMG20220325113706.jpg,tomato_village,test,leaf_miner,tomato,tomato
1039,IMG20220325113716.jpg,tomato_village,test,leaf_miner,tomato,tomato
1044,IMG20220325113920.jpg,tomato_village,test,leaf_miner,tomato,tomato
1048,IMG20220325114022.jpg,tomato_village,test,leaf_miner,tomato,tomato
1049,IMG20220325114027.jpg,tomato_village,test,leaf_miner,tomato,tomato
1050,IMG20220325114058.jpg,tomato_village,test,leaf_miner,tomato,tomato
1051,IMG20220325114311.jpg,tomato_village,test,leaf_miner,tomato,tomato
1055,IMG20220325114417.jpg,tomato_village,test,leaf_miner,tomato,tomato
1067,IMG20220325114754.jpg,tomato_village,test,leaf_miner,tomato,tomato
1068,IMG20220325114906.jpg,tomato_village,test,leaf_miner,tomato,tomato
1071,IMG20220325115003.jpg,tomato_village,test,leaf_miner,tomato,tomato
1074,IMG20220325115354.jpg,tomato_village,test,leaf_miner,tomato,tomato
1084,IMG20220325120149.jpg,tomato_village,test,leaf_miner,tomato,tomato
1088,IMG20220325120610.jpg,tomato_village,test,leaf_miner,tomato,tomato
1092,IMG20220325120849.jpg,tomato_village,test,leaf_miner,tomato,tomato
1094,IMG20220325120930.jpg,tomato_village,test,leaf_miner,tomato,tomato
1095,IMG20220325120953.jpg,tomato_village,test,leaf_miner,tomato,tomato
1096,IMG20220325121026.jpg,tomato_village,test,leaf_miner,tomato,tomato
1103,IMG20220325133258.jpg,tomato_village,test,leaf_miner,tomato,tomato
1105,IMG20220325133458.jpg,tomato_village,test,leaf_miner,tomato,tomato
1106,IMG20220325133509.jpg,tomato_village,test,leaf_miner,tomato,tomato
1107,IMG20220325133517.jpg,tomato_village,test,leaf_miner,tomato,tomato
1108,IMG20220325133528.jpg,tomato_village,test,leaf_miner,tomato,tomato
1112,IMG20220325133639.jpg,tomato_village,test,leaf_miner,tomato,tomato
1118,IMG20220325133740.jpg,tomato_village,test,leaf_miner,tomato,tomato
1126,IMG20220325133946.jpg,tomato_village,test,leaf_miner,tomato,tomato
1128,IMG20220325134014.jpg,tomato_village,test,leaf_miner,tomato,tomato
1134,IMG20220325134219.jpg,tomato_village,test,leaf_miner,tomato,tomato
1135,IMG20220325134309.jpg,tomato_village,test,leaf_miner,tomato,tomato
1140,IMG20220325134628.jpg,tomato_village,test,leaf_miner,tomato,tomato
1142,IMG20220325134711.jpg,tomato_village,test,leaf_miner,tomato,tomato
1149,IMG20220325135400.jpg,tomato_village,test,leaf_miner,tomato,tomato
1153,IMG20220325140203.jpg,tomato_village,test,leaf_miner,tomato,tomato
1159,IMG20220325140253.jpg,tomato_village,test,leaf_miner,tomato,tomato
1160,IMG20220325140255.jpg,tomato_village,test,leaf_miner,tomato,tomato
1162,IMG20220325140741.jpg,tomato_village,test,leaf_miner,tomato,tomato
1165,IMG20220325140756.jpg,tomato_village,test,leaf_miner,tomato,tomato
1166,IMG20220325140825.jpg,tomato_village,test,leaf_miner,tomato,tomato
1169,IMG20220325140856.jpg,tomato_village,test,leaf_miner,tomato,tomato
1177,IMG20220325141300.jpg,tomato_village,test,leaf_miner,tomato,tomato
1180,IMG20220325141319.jpg,tomato_village,test,leaf_miner,tomato,tomato
1182,IMG20220325141404.jpg,tomato_village,test,leaf_miner,tomato,tomato
1184,IMG20220325141432.jpg,tomato_village,test,leaf_miner,tomato,tomato
1190,IMG20220325141559.jpg,tomato_village,test,leaf_miner,tomato,tomato
1192,IMG20220325141632.jpg,tomato_village,test,leaf_miner,tomato,tomato
1200,IMG20220325141857.jpg,tomato_village,test,leaf_miner,tomato,tomato
1203,IMG20220325142003.jpg,tomato_village,test,leaf_miner,tomato,tomato
1204,IMG20220325142008.jpg,tomato_village,test,leaf_miner,tomato,tomato
1206,IMG20220325142146.jpg,tomato_village,test,leaf_miner,tomato,tomato
1207,IMG20220325142430.jpg,tomato_village,test,leaf_miner,tomato,tomato
1211,IMG20220323093844.jpg,tomato_village,test,leaf_miner,tomato,tomato
1214,IMG20220323101534.jpg,tomato_village,test,leaf_miner,tomato,tomato
1217,IMG20220323101949.jpg,tomato_village,test,leaf_miner,tomato,tomato
1218,IMG20220323102111.jpg,tomato_village,test,leaf_miner,tomato,tomato
1225,IMG20220323103947.jpg,tomato_village,test,leaf_miner,tomato,tomato
1230,IMG20220323110026.jpg,tomato_village,test,leaf_miner,tomato,tomato
1231,IMG20220323110544.jpg,tomato_village,test,leaf_miner,tomato,tomato
1233,IMG20220323110727.jpg,tomato_village,test,leaf_miner,tomato,tomato
1234,IMG20220323110804.jpg,tomato_village,test,leaf_miner,tomato,tomato
1235,IMG20220323110816.jpg,tomato_village,test,leaf_miner,tomato,tomato
1236,IMG20220323110903.jpg,tomato_village,test,leaf_miner,tomato,tomato
1241,IMG20220323121700.jpg,tomato_village,test,leaf_miner,tomato,tomato
1242,IMG20220323122455.jpg,tomato_village,test,leaf_miner,tomato,tomato
1243,IMG20220323122725.jpg,tomato_village,test,leaf_miner,tomato,tomato
1244,IMG20220323123548.jpg,tomato_village,test,leaf_miner,tomato,tomato
1247,IMG20220323125446.jpg,tomato_village,test,leaf_miner,tomato,tomato
